epoch,loss,hit_ratio@10,ndcg@10
0,0.22299755386475548,0.5960378983634798,0.5978383883257604
1,0.19738432924662316,0.6256454388984509,0.6119658023510749
2,0.18116109034690922,0.6617900172117039,0.6351676402438806
3,0.16982141407062387,0.6790017211703959,0.6529067594584231
4,0.16046603022723518,0.6884681583476764,0.6641724597530434
5,0.1517604593213218,0.7048192771084337,0.681181522298247
6,0.14314946108746138,0.725473321858864,0.692227182581525
7,0.1342521188155509,0.7366609294320138,0.7048946808376416
8,0.12499157092477901,0.7521514629948365,0.7200722792556008
9,0.11575034239270088,0.7710843373493976,0.736432698998144
10,0.10608117895364351,0.8003442340791739,0.7492181830045739
11,0.0963904813361609,0.8132530120481928,0.7684494826707018
12,0.08661937893315406,0.8373493975903614,0.7883468488221133
13,0.07709491162491952,0.8476764199655766,0.8102920451647364
14,0.06812489867729749,0.8709122203098106,0.8287841960952135
15,0.05983463629339653,0.8795180722891566,0.847643255626045
16,0.052444591459444696,0.8950086058519794,0.8633515718828285
17,0.04561151841995202,0.9087779690189329,0.8840003162778189
18,0.03949743701648384,0.9225473321858864,0.9007425562417235
19,0.03421305534758456,0.9380378657487092,0.914779429124789
